Mesure;Latitude;Longitude;Temperature[°C];Humidity[%];Pressure[hPa];Particulates(1.0)[ug/m3];Particulates(2.0)[ug/m3];Particulates(10.0)[ug/m3];oxidised[kO];Reduced[kO];NH3[ug/m3]
1;43.57343211;1.465523747;7.85930584;55.71261187;1000.064872;1.689655172;3.586206897;4.637931034;9.372109929;422.1084985;180.1141877
2;43.57255077;1.465786345;12.77870622;41.39573794;1000.165938;0.965116279;2.558139535;3.558139535;8.86794633;394.1496205;211.3180107
3;43.57249637;1.468773174;9.734972267;47.9706953;1000.074776;1.189189189;3.391891892;5.77027027;13.52230129;453.7591954;460.0228907
4;43.57088145;1.46864184;11.15246935;40.98343839;999.553356;0.989473684;2.957894737;3.842105263;16.15834084;442.642706;621.1683134
5;43.56991575;1.469817954;11.70451649;40.43274744;999.6142165;1.176470588;3.264705882;4.480392157;19.45750436;448.4746657;814.9208865
6;43.56898575;1.469259358;9.691043136;41.74374009;999.7171518;1.106060606;3.257575758;4.742424242;19.65356909;429.2114178;774.9979094
7;43.56801016;1.470412708;8.974186157;43.59471071;999.7489111;0.955882353;2.323529412;3.205882353;19.5067572;424.7197849;816.3762405
8;43.56800423;1.469265588;8.948882427;45.12863368;999.7359816;0.744680851;3.14893617;5.723404255;19.63865474;415.1134035;789.0103749
9;43.57039875;1.468651566;15.31157361;37.46217273;999.3909862;1.072727273;2.545454545;3.809090909;16.68463606;376.3887669;384.3718549
10;43.56971992;1.467627398;13.50705481;37.39406988;999.5013738;1.454545455;3;4.072727273;19.54046681;381.1234042;500.9080108
11;43.57220604;1.467187812;15.49609761;36.67509264;999.5496901;0.727272727;2.690909091;4.181818182;19.37983659;388.5453384;535.7604673
12;43.57225413;1.465671405;12.39177823;47.5114082;994.1390138;1.388888889;2.444444444;2.944444444;31.95921821;404.0062868;733.3169912
